Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-01-04,26.3417,26.6462,26.1621,26.3059,16945.097030732
2010-01-05,26.3417,27.5047,26.1256,27.1474,932593.9147043
2010-01-06,27.326,28.312,27.2367,28.312,365284.61978049
2010-01-07,28.312,28.312,27.6842,28.1155,20078.811562081
2010-01-08,28.3486,28.8668,27.6842,28.6523,398990.27026303
2010-01-11,28.6702,28.6702,27.3439,28.312,25014.470720798
2010-01-12,28.2039,28.4915,27.811,28.4005,43739.179079536
2010-01-13,28.1334,28.5272,27.9182,27.9539,18862.234465328
2010-01-14,28.312,28.4201,27.8271,27.8271,7593.3217826395
2010-01-15,27.8637,28.312,27.8271,28.2763,37355.381772799
2010-01-18,28.4005,29.19,28.3486,29.1007,484993.45522749
2010-01-19,29.0284,29.1364,28.6889,28.9917,45338.948575846
2010-01-20,28.312,28.8668,28.2763,28.6702,28505.518041918
2010-01-21,28.1682,28.6702,28.1155,28.6702,22430.860615806
2010-01-22,28.061,28.061,27.5234,27.7029,23374.736372998
2010-01-25,27.3082,27.5957,27.0385,27.058,151831.17254854
2010-01-26,27.2367,27.2367,26.6275,26.8777,54141.79483439
2010-01-27,27.058,27.058,26.4838,26.6462,64290.516238618
2010-01-28,26.8777,27.058,26.5212,26.8777,88894.759513263
2010-01-29,26.8964,26.8964,26.2668,26.5212,37090.908490897
2010-02-01,26.3417,26.5212,25.7683,25.8032,295296.76133128
2010-02-02,26.1962,26.6642,25.8397,26.5909,1084207.6314432
2010-02-03,26.8428,28.4558,26.8428,27.5957,532843.1368262
2010-02-04,27.5957,28.1334,27.2724,27.5957,61381.310137683
2010-02-05,26.8428,27.2903,26.1962,26.5212,38758.853322099
2010-02-08,26.5561,27.1652,26.5212,26.5212,148164.98514296
2010-02-09,26.5374,27.452,26.5374,27.2554,166190.30860066
2010-02-10,27.5234,27.7029,27.2554,27.2554,34654.227986962
2010-02-11,27.5957,27.6655,26.8777,26.8777,14026.487435331
2010-02-12,27.5582,27.5582,27.2367,27.3082,161915.2449283
2010-02-15,27.6315,27.9539,27.6315,27.9539,65993.724174073
2010-02-16,27.9539,28.1155,27.9182,27.9182,4553.6421959668
2010-02-17,28.0423,28.0423,27.7744,27.936,4404.3617212926
2010-02-18,27.936,27.9539,27.3804,27.3804,145193.48089118
2010-02-19,27.3804,28.3834,27.3804,28.312,205787.24836719
2010-02-22,28.6345,28.7774,28.4201,28.4915,18038.253262598
2010-02-23,28.4201,28.6345,27.8994,28.1334,20250.425336117
2010-02-24,27.8994,28.3834,27.811,28.2039,7140.7786113831
2010-02-25,28.312,28.312,27.811,28.2039,120343.57132356
2010-02-26,27.7744,28.1861,27.6655,27.7744,31877.846245384
2010-03-01,27.6655,28.1334,27.6315,27.9539,6401.428858863
2010-03-02,27.9539,28.6523,27.9539,28.6523,11661.508576713
