Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-01-04,11.9312,12.0694,11.9312,12.0694,13594.910313937
2010-01-05,12.0763,12.3517,12.0763,12.3194,170136.33408117
2010-01-06,12.3586,12.4596,12.3076,12.4596,228720.13452975
2010-01-07,12.3076,12.3076,11.8548,12.2675,10182.410313928
2010-01-08,12.2675,12.7644,12.1537,12.7644,23187.656950734
2010-01-11,12.8419,12.8419,12.688,12.7644,139799.26009005
2010-01-12,12.7644,12.7811,12.688,12.7811,9477.466367738
2010-01-13,12.6193,12.688,12.6193,12.688,343.8004484314
2010-01-14,12.7644,13.0173,12.7644,13.0016,119243.6659196
2010-01-15,13.0173,13.2918,13.0105,13.2918,121978.76681647
2010-01-18,13.2918,13.6809,13.2918,13.6731,125012.78026939
2010-01-19,13.6594,13.6809,13.3829,13.528,64300.885650394
2010-01-20,13.6682,13.6682,13.3771,13.5604,35620.582959735
2010-01-21,13.4535,13.5662,13.4153,13.5221,51402.757847669
2010-01-22,13.3771,13.4908,13.2467,13.3771,143422.93722011
2010-01-25,13.2153,13.3379,13.032,13.2761,57518.733184008
2010-01-26,13.0859,13.528,12.8791,13.4447,297609.7869963
2010-01-27,13.4535,13.5133,13.3908,13.4535,73069.327354453
2010-01-28,13.2996,13.3379,13.0232,13.2859,170894.32735471
2010-01-29,13.2751,13.2751,13.1496,13.1673,237552.84753426
2010-02-01,13.3379,13.3379,12.6105,12.8174,15646.491031431
2010-02-02,12.8174,12.9938,12.8174,12.9173,8521.5582959866
2010-02-03,12.7644,12.9173,12.2449,12.9173,67622.589686277
2010-02-04,12.9938,12.9938,12.5743,12.8174,358487.97085296
2010-02-05,12.7811,12.7811,12.4351,12.7644,71430.9192827
2010-02-08,12.7576,12.8869,12.7576,12.8027,361787.23094266
2010-02-09,12.8556,12.8791,12.688,12.688,136795.8520183
2010-02-10,12.5576,12.8027,12.3449,12.3449,76370.627802892
2010-02-11,12.3449,12.3831,11.9999,12.2292,90695.986547324
2010-02-12,12.2292,12.3831,11.9851,12.3831,167467.54484349
2010-02-15,12.3831,13.1242,11.9999,12.8419,22672.466367773
2010-02-16,13.1242,13.1702,12.9644,12.9644,37361.008968708
2010-02-17,13.2232,13.2232,12.9095,12.9173,128480.3699555
2010-02-18,13.1457,13.1457,12.6105,12.6105,40769.428251229
2010-02-19,12.688,12.688,12.6105,12.688,82219.316143715
2010-02-22,12.688,12.8419,12.6488,12.6488,54103.172645883
2010-02-23,12.7331,12.7331,12.6105,12.6488,29267.926009046
2010-02-24,12.4213,12.7644,12.4213,12.4968,59867.186098813
2010-02-25,12.5351,12.5351,12.3076,12.3076,55344.73094185
2010-02-26,12.6105,12.6488,12.4213,12.6488,127582.61210796
2010-03-01,12.9565,13.1095,12.3831,12.9938,231180.8071755
2010-03-02,13.1095,13.1095,12.9938,13.0399,51148.733183991
2010-03-03,13.1095,13.3771,13.0712,13.2996,10286.468609893
2010-03-04,13.2996,13.2996,12.9173,12.9173,117043.13901376
2010-03-05,13.1389,13.2996,12.6282,13.2996,43044.428251235
2010-03-08,13.184,13.5221,13.1095,13.4535,25253.520179439
2010-03-09,13.4535,13.4908,13.4065,13.4535,65819.9327356
2010-03-10,13.4535,13.7574,13.3771,13.7192,46825.213004608
2010-03-11,13.7574,14.2553,13.7192,13.9103,59464.215246794
2010-03-12,13.9103,14.1328,13.8721,14.0946,64292.724215416
2010-03-15,14.0652,14.0652,13.8505,13.926,24679.15919289
2010-03-16,13.0105,14.0269,13.0105,13.9877,45166.401345411
2010-03-17,13.9877,14.2936,13.9877,14.2867,8514.4170403812
2010-03-18,14.2867,14.4847,14.2867,14.37,229826.00896922
2010-03-19,14.3318,14.4465,14.2936,14.3387,148768.67713044
2010-03-22,14.3318,14.522,14.2553,14.522,154862.20852059
2010-03-23,14.6749,15.1042,14.522,14.9817,31702.073991115
2010-03-24,15.0572,15.0572,14.5308,14.868,45577.533632407
2010-03-25,14.868,14.9052,14.668,14.8297,12858.340807209
2010-03-26,14.7896,14.8297,14.224,14.8297,56753.598654858
2010-03-29,14.9052,15.1346,14.7523,14.8297,44157.443946305
2010-03-30,14.9817,15.2875,14.6749,14.6749,39154.484305036
2010-03-31,14.6386,15.0199,14.521,14.521,68404.047085382
2010-04-01,14.522,14.5984,14.2171,14.2171,44983.789237787
2010-04-06,14.2102,14.7445,14.1407,14.7445,185898.10538166
2010-04-07,14.522,14.8886,14.522,14.5612,55653.845291627
2010-04-08,14.5073,14.7523,14.37,14.37,32044.854260174
2010-04-09,14.7601,16.4706,14.7601,16.1266,508412.5112121
2010-04-12,16.2795,16.6637,15.6767,16.4334,240181.84977642
2010-04-13,16.4334,16.4334,16.0589,16.2344,23361.087444008
2010-04-14,16.6549,16.6549,16.0668,16.1266,16260.639013496
2010-04-15,16.0521,16.304,15.4865,16.1266,50622.320627936
2010-04-16,16.3569,16.3569,16.0521,16.1207,25914.596412624
2010-04-19,16.0883,16.0883,15.8296,16.0521,42960.773542714
2010-04-20,15.8217,16.0883,15.8217,16.0521,49301.188340937
2010-04-21,16.0521,16.3569,16.0521,16.3569,49816.378923898
2010-04-22,16.3491,16.3569,15.9001,16.3569,46439.585201916
2010-04-23,16.054,16.3197,15.9394,16.0932,123972.19730974
2010-04-26,16.3187,16.4334,16.1266,16.4334,37600.751121175
2010-04-27,16.4334,16.4334,16.2491,16.3569,8798.0269058528
2010-04-28,16.1207,16.203,15.8296,16.0589,55138.654708666
2010-04-29,15.9756,16.4334,15.9756,16.4334,31814.293722057
2010-04-30,16.7559,16.7725,16.4353,16.6304,59682.533632444
2010-05-04,16.8167,16.8382,16.4334,16.4412,37442.623318484
2010-05-05,15.7443,16.0286,15.7384,15.7541,205287.63452969
2010-05-06,15.4394,16.0354,14.8807,15.4394,43431.076233298
2010-05-07,15.2875,15.2875,14.522,14.9052,127946.81614384
2010-05-10,14.7896,15.9001,14.7896,15.9001,93089.327354506
2010-05-11,15.9001,16.3491,15.9001,16.3491,116422.86995546
2010-05-12,16.3491,16.8931,16.1432,16.5098,72361.322870146
2010-05-13,16.8088,16.8167,16.5559,16.5638,25102.533632353
2010-05-14,16.701,16.8931,16.6481,16.6481,567422.74663827
2010-05-17,16.7774,16.9676,16.6637,16.9372,56781.143497908
2010-05-18,16.9539,16.9676,16.8167,16.9304,66926.827354437
2010-05-19,16.8931,16.8931,16.0589,16.2795,19831.266816196
2010-05-20,16.2726,16.2726,15.6012,15.6767,77516.289237873
2010-05-21,15.2934,15.9599,14.6141,15.3248,19229.360986598
2010-05-24,16.0521,16.2726,15.4394,15.5169,20736.165919337
2010-05-25,15.4394,16.0521,15.4394,15.5924,75223.946188539
2010-05-26,15.5924,16.0521,15.5924,15.9001,56877.040358894
2010-05-27,15.9756,16.0521,15.9001,15.9001,60463.99103155
2010-05-28,16.0521,16.0521,14.9817,15.2875,246838.52018002
2010-05-31,15.6257,15.6571,15.3071,15.4787,11975.885650256
2010-06-01,15.6972,15.7423,15.2993,15.6659,62326.838565187
2010-06-02,15.6659,15.6659,15.214,15.2855,74288.441704232
2010-06-04,15.362,15.4012,14.4132,15.2454,104284.77578503
2010-06-07,14.5759,15.2454,14.5759,15.0581,191758.01569557
2010-06-08,15.0581,15.2601,14.9033,15.2601,49994.910314033
2010-06-09,15.214,15.6169,15.214,15.4394,105012.16367741
2010-06-10,15.4394,15.4787,15.2855,15.4394,50669.248879057
2010-06-11,15.5786,15.7962,15.5737,15.5737,18425.459641304
2010-06-14,15.7286,15.7355,15.5737,15.5737,16840.100896905
2010-06-15,15.5737,16.351,15.2767,16.351,19827.186098707
2010-06-16,15.9619,16.0393,15.8521,16.0158,24101.737668225
2010-06-17,15.5953,16.2726,15.5953,16.2726,53094.215246777
2010-06-18,16.2344,17.1303,16.0482,17.1303,86202.096412783
2010-06-21,17.0127,17.0519,16.7402,17.0519,32954.854260177
2010-06-22,17.0519,17.1215,16.897,17.0519,149642.97085241
2010-06-23,17.0519,17.2078,17.0519,17.1685,100202.01793748
2010-06-24,17.1685,17.1685,16.4353,17.1685,33384.349775873
2010-06-25,17.1685,17.5185,15.9619,17.5185,86526.513453143
2010-06-28,17.5185,17.5185,17.3244,17.4803,125809.54035908
2010-06-29,17.4411,17.4636,16.5383,17.1303,19124.282511261
2010-06-30,17.1117,17.1676,16.7814,16.8833,16001.513452957
2010-07-01,16.8108,16.8108,16.3903,16.5069,13197.040358779
2010-07-02,16.5069,16.5843,16.1178,16.5843,95417.376681866
2010-07-05,16.5843,16.7402,16.5843,16.6775,4587.7466367834
2010-07-06,16.7402,17.1372,16.7402,17.0519,19218.139013504
2010-07-07,17.1303,17.1303,17.0519,17.1303,32256.03139022
2010-07-08,17.1303,17.8214,17.1303,17.8214,163205.23542644
2010-07-09,17.6195,17.7439,17.5185,17.6665,53729.786995657
2010-07-12,17.6665,17.8214,17.2921,17.7528,39690.078475441
2010-07-13,17.7528,17.8292,17.4411,17.4411,8832.7130045076
2010-07-14,17.7528,17.7528,17.4881,17.5959,179391.40134576
2010-07-15,17.5959,17.7439,17.5185,17.6734,30106.513452994
2010-07-16,17.5959,17.6734,17.4411,17.4803,7533.0044843248
2010-07-19,17.1303,17.5959,17.1303,17.5734,99452.186098917
2010-07-20,17.5734,17.6116,17.3391,17.5959,426757.35426122
2010-07-21,17.6734,17.8998,17.6734,17.892,102688.19506754
2010-07-22,17.892,18.6085,17.8684,18.6085,193735.1233189
2010-07-23,18.5311,18.5311,18.0243,18.1801,1120697.6457429
2010-07-26,18.2193,18.4144,17.9076,18.4144,418165.40358855
2010-07-27,18.4144,18.4144,18.0625,18.1409,36199.024663773
2010-07-28,18.1105,18.1105,17.5567,17.6361,224235.42600956
2010-07-29,17.7528,18.2193,17.7528,18.2193,16222.892376724
2010-07-30,18.2115,18.2968,17.8214,17.8292,212461.535875
2010-08-02,18.2046,18.2046,17.9076,18.0243,315858.75560621
2010-08-03,18.235,18.235,17.8292,18.0243,94432.903587693
2010-08-04,18.0184,18.2115,17.6734,18.2115,260747.6457406
2010-08-05,18.2046,18.2046,17.9331,18.0625,3180.9192825196
2010-08-06,17.9076,18.2899,17.8998,18.0625,161698.4304937
2010-08-09,17.7684,18.2193,17.7684,17.8616,662289.22645915
2010-08-10,17.9076,18.2193,17.1754,17.5342,45046.020179491
2010-08-11,17.5959,17.5959,17.3244,17.5185,13678.565022458
2010-08-12,17.3469,17.6361,17.1685,17.6361,86473.464125789
2010-08-13,17.6361,17.79,17.2078,17.3636,29253.643497835
2010-08-16,17.3469,17.5567,17.1921,17.5567,30249.338565102
2010-08-17,17.5567,17.5567,17.247,17.247,8458.3071749102
2010-08-18,17.2852,17.2852,17.1989,17.2852,11685.134529179
2010-08-19,17.2852,17.5185,17.2078,17.2078,47306.737668286
2010-08-20,17.2852,17.2852,17.1754,17.2852,56815.829596562
2010-08-23,17.2146,17.2852,17.2078,17.2078,180193.26233231
2010-08-24,17.2146,17.4411,17.2078,17.3705,187768.0941709
2010-08-25,17.2078,17.3636,17.2078,17.2852,126378.80044876
2010-08-26,17.2852,17.4028,17.2078,17.4028,16842.14125565
2010-08-27,17.2852,17.4411,17.1303,17.2783,21919.573991089
2010-08-30,17.2783,17.4028,17.2783,17.4028,1709.8206278072
2010-08-31,17.494,17.5126,17.247,17.5126,75951.334080918
2010-09-01,17.5126,17.5567,17.3636,17.3636,23655.919282574
2010-09-02,17.3636,17.5959,17.2852,17.5959,34803.419282603
2010-09-03,17.7528,17.7528,17.3636,17.3773,25543.251121144
2010-09-06,17.3636,17.3773,17.2078,17.3548,69024.31614368
2010-09-07,17.1921,17.2078,16.9108,17.1215,123985.45964158
2010-09-08,16.9108,17.1303,16.6471,17.1303,20179.147982116
2010-09-09,17.0519,17.1303,16.7627,16.9745,55391.659192971
2010-09-10,17.0901,17.3244,17.0519,17.3166,132981.40134564
2010-09-13,17.3636,17.5185,17.3636,17.5126,9655.997757873
2010-09-14,17.9076,18.1409,17.8155,17.9233,77776.434977784
2010-09-15,18.1733,18.5389,18.1664,18.3134,138056.79372234
2010-09-16,18.4526,18.6007,17.5342,18.1017,30401.34529156
2010-09-17,18.4526,18.4526,18.0704,18.4448,36536.704035971
2010-09-20,18.4526,18.6085,18.3752,18.3752,176689.96636818
2010-09-21,18.6085,19.8396,18.4526,19.4642,179579.11435025
2010-09-22,19.5436,19.7769,18.8496,19.2711,38524.013453016
2010-09-23,19.0221,19.2711,18.4223,19.2711,40094.069506832
