Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-11-09,25.0036,26.6051,24.8783,26.6051,22505021.717928
2010-11-10,26.6051,26.6051,25.6186,25.6186,2713312.5377153
2010-11-12,25.1755,26.4074,24.6331,26.4074,3339668.4450093
2010-11-15,26.308,26.5058,25.6186,25.9141,769266.87030284
2010-11-16,25.7655,25.8657,25.2247,25.2247,713435.383843
2010-11-17,25.1997,25.6186,24.9785,24.9785,855492.01362896
2010-11-18,25.3724,25.6679,25.1504,25.1504,522774.37099907
2010-11-19,25.3724,25.4217,25.1013,25.2247,733135.98382586
2010-11-22,25.2247,25.3724,25.1504,25.248,698220.61209692
2010-11-23,25.2247,25.2247,24.7073,24.7073,601583.71672909
2010-11-24,24.8783,25.1263,24.7073,25.1263,711962.87454824
2010-11-25,25.1997,25.248,24.7816,25.0761,165076.1638475
2010-11-26,25.0761,25.0761,24.5881,24.9294,802487.4671831
2010-11-29,24.7315,24.7574,24.5061,24.5596,322888.18003413
2010-11-30,24.3868,24.8783,24.3868,24.8783,199408.08849738
2010-12-01,24.8783,25.718,24.7315,25.6679,441033.89827665
2010-12-02,25.6679,25.7923,25.4709,25.6437,467756.70060387
2010-12-03,25.6186,25.6679,25.3724,25.4709,116127.96376079
2010-12-06,25.4467,25.4709,25.0761,25.1755,102829.07478423
2010-12-07,24.9785,25.1263,24.8308,25.0036,165709.38914957
2010-12-08,24.9043,25.1755,24.8308,25.1755,647026.60380909
2010-12-09,25.1263,25.2247,24.9294,25.1263,264761.10715015
2010-12-10,25.1263,25.1755,24.9785,25.0528,100370.26209392
2010-12-13,25.0761,25.3724,25.0761,25.3724,156540.93505013
2010-12-14,25.1755,25.3223,24.9294,24.9294,136982.72393774
2010-12-15,24.9043,24.9785,24.8541,24.9526,200939.6370799
2010-12-16,24.9294,24.9526,24.7574,24.9294,141243.97135441
2010-12-17,24.8308,24.8783,24.7315,24.7574,108774.67835175
2010-12-20,24.7574,24.8783,24.5846,24.8783,363744.52479821
2010-12-21,24.7073,24.7574,24.6331,24.7315,182179.03516886
2010-12-22,24.6331,24.7816,24.627,24.6831,658408.45238305
2010-12-23,24.6331,24.6831,24.5881,24.5881,226060.27520589
2010-12-27,24.5976,24.627,24.2936,24.3143,225670.15285343
2010-12-28,24.2875,24.3868,24.0422,24.24,482308.14858745
2010-12-29,24.1406,24.6244,24.1406,24.6244,221958.78115611
2010-12-30,24.6331,24.6331,24.4352,24.462,103515.55120859
2010-12-31,24.4628,24.5578,23.9904,24.1432,168173.99000534
2011-01-03,24.189,24.3376,24.0525,24.2875,228619.80197533
2011-01-04,24.2875,24.6572,24.2875,24.525,269136.96024306
2011-01-05,24.5061,24.525,24.056,24.3868,231604.18009002
2011-01-07,24.24,24.2633,23.9333,23.9541,403226.75908048
2011-01-10,23.8944,23.9082,22.9676,23.2292,305846.66326672
2011-01-11,23.1308,23.6146,23.1308,23.5489,312019.16292053
2011-01-12,23.6483,24.2339,23.6232,24.2339,321861.35948031
2011-01-13,24.1406,24.189,23.8944,23.8944,738389.32280355
2011-01-14,23.8944,24.24,23.796,24.24,203410.02610114
2011-01-17,24.1406,24.1406,23.6483,23.8297,134793.63975819
2011-01-18,23.796,23.9679,23.599,23.9376,164689.51439431
2011-01-19,23.8297,23.8443,23.6483,23.796,269074.44805602
2011-01-20,23.6483,23.7709,23.599,23.6483,213988.4773083
2011-01-21,23.6483,23.8443,23.6483,23.8443,102397.2776404
2011-01-24,23.6724,23.7709,23.4315,23.618,244031.37134728
2011-01-25,23.5489,23.7225,23.5247,23.7225,211083.97587705
2011-01-26,23.6966,24.0361,23.618,23.8944,182386.25149257
2011-01-27,23.9031,24.1406,23.8944,24.0422,119918.05450847
2011-01-28,24.0422,24.3039,23.8944,24.0422,135638.71191635
2011-01-31,23.8504,23.8547,23.6509,23.7347,152675.59815138
2011-02-01,23.6525,23.7709,23.6525,23.7416,157395.26827303
2011-02-02,23.7459,23.7856,23.6872,23.7856,163160.28107797
2011-02-03,23.7528,24.1242,23.7459,24.1242,143216.57814551
2011-02-04,24.1406,24.2573,23.9186,24.2573,204419.48215855
2011-02-07,24.1406,24.1804,23.7459,23.8944,384447.63503994
2011-02-08,23.8443,23.8798,23.7459,23.7856,190109.97949148
2011-02-09,23.7459,23.821,23.6483,23.6483,238701.62858544
2011-02-10,23.7459,23.7459,23.6483,23.6966,152820.30228805
2011-02-11,23.6483,24.0422,23.6483,23.9247,162410.13483348
2011-02-14,23.7459,24.018,23.6966,23.9445,134490.33988773
2011-02-15,23.8703,24.0128,23.7225,23.7225,156581.45220839
2011-02-16,23.6966,23.992,23.6819,23.9445,293294.44763538
2011-02-17,23.8944,23.9186,23.7459,23.7709,87219.55015331
2011-02-18,23.7225,23.796,23.6483,23.6724,251587.24254766
2011-02-21,23.6483,23.6578,23.5247,23.5489,163056.09409957
2011-02-22,23.4513,23.5005,23.4315,23.4755,112593.70992675
2011-02-23,23.4271,23.4513,23.4003,23.4124,100117.89807957
2011-02-24,23.1991,23.2976,23.1559,23.1904,140720.72119621
2011-02-25,23.1706,23.3027,23.1706,23.2932,52569.276402745
2011-02-28,23.2138,23.2785,23.0756,23.2785,151109.32057606
2011-03-01,23.2292,23.3027,23.1559,23.3027,170746.25073879
2011-03-02,23.1844,23.2586,23.0816,23.1559,267723.49023606
2011-03-03,23.1602,23.2535,23.0816,23.2051,303701.56914472
2011-03-04,23.2095,23.3027,23.1645,23.2535,213552.0496321
2011-03-07,23.2241,23.2647,23.1792,23.2095,363927.43082697
2011-03-08,23.1748,23.2051,23.1049,23.1204,135952.43048464
2011-03-09,23.1204,23.1204,22.514,22.6963,278918.95988199
2011-03-10,22.6626,22.6626,22.318,22.318,399991.17458454
