Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-05-11,41.8225,50.4745,40.9492,49.6742,250598.21027915
2018-05-14,54.481,59.9293,52.3178,53.4397,299839.75524464
2018-05-15,53.3591,53.3591,46.6929,49.6742,117277.57274223
2018-05-16,50.8759,51.195,48.0796,51.0117,42446.072716429
2018-05-17,51.1721,51.195,47.2692,47.2692,30040.53572352
2018-05-18,47.2692,49.6742,46.709,47.2692,16304.655715319
2018-05-21,48.0796,50.4745,48.0796,48.7118,25382.567663777
2018-05-22,50.0739,50.1546,48.8723,49.5613,9466.7633169671
2018-05-23,49.6742,49.6742,47.1096,48.8723,15200.55349625
2018-05-24,48.8723,48.8723,47.9192,48.8638,6949.8344589833
2018-05-25,48.8723,48.8723,47.6714,48.4801,7357.5392271773
2018-05-28,48.7118,51.2757,48.0872,51.2757,45473.221703395
2018-05-29,56.0833,58.2464,52.9576,53.9837,113067.37292502
2018-05-30,52.0606,53.5195,49.1132,50.0739,40297.963489788
2018-06-01,50.0739,52.0776,49.4341,51.2757,7977.3447418306
2018-06-04,52.0776,56.0034,51.6771,55.8431,24824.035698101
2018-06-05,57.2926,62.4847,56.892,62.4847,91689.974356878
2018-06-06,63.8943,70.2634,61.9313,63.5344,122782.76545033
2018-06-07,65.2165,67.2999,61.7005,66.4988,27474.116691362
2018-06-08,66.0897,67.2914,64.4952,66.3783,19785.464632212
2018-06-11,67.7005,67.9406,60.5294,63.6066,35936.936475089
2018-06-12,63.5743,65.6976,63.5743,64.4068,9956.9517087842
2018-06-13,64.776,64.8966,62.9013,63.5098,7031.1397451261
2018-06-14,62.4922,66.4988,60.9707,66.0982,26252.180724261
2018-06-15,66.2577,66.3384,64.6555,65.6976,15931.122734055
2018-06-18,65.6179,65.6179,64.0946,64.7921,7592.0283857629
2018-06-19,64.1751,64.1751,61.2108,62.8928,13900.847255447
2018-06-20,62.4922,63.2145,59.4482,61.6835,15217.050220975
2018-06-21,61.6835,62.6365,57.2849,58.4866,19641.707459612
2018-06-22,58.0869,59.2886,58.0869,58.479,8134.0636267145
2018-06-25,58.6869,64.0869,57.3656,62.2283,13491.964149773
2018-06-26,62.3319,63.2145,60.1059,61.6835,8749.1557914464
2018-06-27,61.0504,61.7717,59.7927,60.2094,7548.4298989907
2018-06-28,59.8088,61.692,59.6968,61.6759,8816.3210278252
2018-06-29,60.2255,61.6674,60.2179,60.89,15663.64012602
2018-07-02,60.89,62.5729,60.89,62.4922,23402.960696824
2018-07-03,62.4922,62.4922,61.3389,62.0119,4277.365053596
2018-07-04,62.3726,63.9749,61.692,62.0926,11934.202000777
2018-07-05,62.1723,65.2971,61.8601,64.4952,40568.981110264
2018-07-06,64.8966,65.6976,64.1115,64.1268,8981.2882750714
